Inc,depth,SG1,SG2,SG3,stress_yeld_div_E,stress_max,stress_min,stress_border,f
1,0.1,-1.92936185864646e-05,-7.84448219497188e-06,3.45165107845414e-06,0.00125,210.557793040621,-3.90698324114835,200.0,0.7
2,0.2,-4.53900960967183e-05,-1.85704006223994e-05,8.19439659167342e-06,0.00125,210.557793040621,-3.90698324114835,200.0,0.7
3,0.3,-7.59964979327445e-05,-3.12628894239993e-05,1.45206829389149e-05,0.00125,210.557793040621,-3.90698324114835,200.0,0.7
4,0.4,-0.000107637409489623,-4.46324594950876e-05,2.22604147808233e-05,0.00125,210.557793040621,-3.90698324114835,200.0,0.7
5,0.5,-0.000138701002424664,-5.77270124557191e-05,3.09113091655106e-05,0.00125,210.557793040621,-3.90698324114835,200.0,0.7
6,0.6,-0.000167785204619659,-6.98470254403548e-05,3.99845624861868e-05,0.00125,210.557793040621,-3.90698324114835,200.0,0.7
7,0.7,-0.000194170658257066,-8.0812397616064e-05,4.92131246096328e-05,0.00125,210.557793040621,-3.90698324114835,200.0,0.7
8,0.8,-0.000217455151742418,-9.0451644222861e-05,5.83217829458099e-05,0.00125,210.557793040621,-3.90698324114835,200.0,0.7
9,0.9,-0.000237535461269325,-9.86971728221733e-05,6.70538796308166e-05,0.00125,210.557793040621,-3.90698324114835,200.0,0.7
10,1,-0.000254523960607018,-0.000105560576986351,7.52853082135243e-05,0.00125,210.557793040621,-3.90698324114835,200.0,0.7
1,0.1,-2.02727664493224e-05,-8.20734404524467e-06,3.64174703447396e-06,0.00125,222.810879254508,-7.38833733863673,208.4,0.75
2,0.2,-4.78153272690197e-05,-1.95348279239995e-05,8.74394136683619e-06,0.00125,222.810879254508,-7.38833733863673,208.4,0.75
3,0.3,-8.0516927980179e-05,-3.33293597623656e-05,1.59430485126814e-05,0.00125,222.810879254508,-7.38833733863673,208.4,0.75
4,0.4,-0.000114231243157464,-4.7709898660862e-05,2.46474302606741e-05,0.00125,222.810879254508,-7.38833733863673,208.4,0.75
5,0.5,-0.000147235870056575,-6.17395774605301e-05,3.42838234830288e-05,0.00125,222.810879254508,-7.38833733863673,208.4,0.75
6,0.6,-0.000178146609481192,-7.49599365395361e-05,4.45058687280523e-05,0.00125,222.810879254508,-7.38833733863673,208.4,0.75
7,0.7,-0.000206088125887858,-8.69049329915897e-05,5.47792136132836e-05,0.00125,222.810879254508,-7.38833733863673,208.4,0.75
8,0.8,-0.000230620655697676,-9.7361513073794e-05,6.47509148993805e-05,0.00125,222.810879254508,-7.38833733863673,208.4,0.75
9,0.9,-0.000251908601246112,-0.000106586859272352,7.46128109447603e-05,0.00125,222.810879254508,-7.38833733863673,208.4,0.75
10,1,-0.000269954592704269,-0.000114625302724382,8.40278803614821e-05,0.00125,222.810879254508,-7.38833733863673,208.4,0.75
1,0.1,-2.12608882862391e-05,-8.58424921130332e-06,3.84955484683098e-06,0.00125,235.774134074578,-12.622408777834,216.6,0.8
2,0.2,-5.09815077122904e-05,-2.08417696466792e-05,9.70365119755876e-06,0.00125,235.774134074578,-12.622408777834,216.6,0.8
3,0.3,-8.57584271189249e-05,-3.57077469487325e-05,1.79580201880549e-05,0.00125,235.774134074578,-12.622408777834,216.6,0.8
4,0.4,-0.000121745379100813,-5.1186699927517e-05,2.79171189406027e-05,0.00125,235.774134074578,-12.622408777834,216.6,0.8
5,0.5,-0.000156828578217561,-6.64679760521107e-05,3.89647326192144e-05,0.00125,235.774134074578,-12.622408777834,216.6,0.8
6,0.6,-0.000189413492438533,-8.0690982647173e-05,5.03324792821273e-05,0.00125,235.774134074578,-12.622408777834,216.6,0.8
7,0.7,-0.000218816359790909,-9.38066486251905e-05,6.19740235823293e-05,0.00125,235.774134074578,-12.622408777834,216.6,0.8
8,0.8,-0.000244739009983895,-0.000105731636383731,7.34132732713316e-05,0.00125,235.774134074578,-12.622408777834,216.6,0.8
9,0.9,-0.000267059988680226,-0.000116307854760402,8.42006770815955e-05,0.00125,235.774134074578,-12.622408777834,216.6,0.8
10,1,-0.000285922001006536,-0.000125471733089738,9.41912043764552e-05,0.00125,235.774134074578,-12.622408777834,216.6,0.8
1,0.1,-2.24894923750075e-05,-9.03632384535281e-06,4.14986273751684e-06,0.00125,250.159386482921,-20.1082717997824,225.0,0.85
2,0.2,-5.49268025794287e-05,-2.2549644855541e-05,1.12851147528014e-05,0.00125,250.159386482921,-20.1082717997824,225.0,0.85
3,0.3,-9.25146996102269e-05,-3.87701872555185e-05,2.12320552749487e-05,0.00125,250.159386482921,-20.1082717997824,225.0,0.85
4,0.4,-0.000130937558327428,-5.56465245008293e-05,3.29445680077078e-05,0.00125,250.159386482921,-20.1082717997824,225.0,0.85
5,0.5,-0.000167972439049309,-7.21911406449206e-05,4.56223550965968e-05,0.00125,250.159386482921,-20.1082717997824,225.0,0.85
6,0.6,-0.000202324422430638,-8.81077925316072e-05,5.89092125639212e-05,0.00125,250.159386482921,-20.1082717997824,225.0,0.85
7,0.7,-0.000233191032256761,-0.000102966830675932,7.17981624193903e-05,0.00125,250.159386482921,-20.1082717997824,225.0,0.85
8,0.8,-0.000260214257271492,-0.00011640828798117,8.40305603689426e-05,0.00125,250.159386482921,-20.1082717997824,225.0,0.85
9,0.9,-0.000283437664764496,-0.000128307038237384,9.54996997943735e-05,0.00125,250.159386482921,-20.1082717997824,225.0,0.85
10,1,-0.000302983160832172,-0.000138538447095953,0.000106031595275131,0.00125,250.159386482921,-20.1082717997824,225.0,0.85
1,0.1,-2.45461991267608e-05,-9.77514844161088e-06,4.8589668418951e-06,0.00125,264.309031856731,-29.6744013843799,233.0,0.9
2,0.2,-6.02620547986063e-05,-2.48795954807893e-05,1.4122473533343e-05,0.00125,264.309031856731,-29.6744013843799,233.0,0.9
3,0.3,-0.000100569655453905,-4.25820228280028e-05,2.61779894169595e-05,0.00125,264.309031856731,-29.6744013843799,233.0,0.9
4,0.4,-0.000141174871103097,-6.10482010417267e-05,4.01463727396426e-05,0.00125,264.309031856731,-29.6744013843799,233.0,0.9
5,0.5,-0.000180080410476064,-7.96711116831119e-05,5.4795906275036e-05,0.00125,264.309031856731,-29.6744013843799,233.0,0.9
6,0.6,-0.000215857057059054,-9.74650391576963e-05,6.91697456205297e-05,0.00125,264.309031856731,-29.6744013843799,233.0,0.9
7,0.7,-0.000247737854822931,-0.000113795107796726,8.2953047983514e-05,0.00125,264.309031856731,-29.6744013843799,233.0,0.9
8,0.8,-0.000275361047056319,-0.000128201623734717,9.58214950859715e-05,0.00125,264.309031856731,-29.6744013843799,233.0,0.9
9,0.9,-0.000298715789899785,-0.000140456897024892,0.000107723457871406,0.00125,264.309031856731,-29.6744013843799,233.0,0.9
10,1,-0.0003180336299558,-0.000150555904756918,0.000118642212288266,0.00125,264.309031856731,-29.6744013843799,233.0,0.9
